dataset,method,num_train,test_f1,test_acc,test_auc,val_auc
5_hist_fig_ismale,logreg,2,0.4406044427067535,0.4510706423854312,0.4512407044483125,1.0
5_hist_fig_ismale,pca,2,0.5348770412824821,0.5363217930758455,0.5432919364703448,1.0
5_hist_fig_ismale,knn,2,0.5348770412824821,0.5363217930758455,0.5363329479109498,1.0
5_hist_fig_ismale,xgboost,2,0.3332221614489707,0.4998999399639784,0.5,0.5
5_hist_fig_ismale,mlp,2,0.6134567218835194,0.6175705423253952,0.6405525380688705,1.0
5_hist_fig_ismale,logreg,3,0.4371328646993319,0.4815852682145716,0.4714767811046274,1.0
5_hist_fig_ismale,pca,3,0.4519351124829537,0.4855884707766213,0.4748900801986665,1.0
5_hist_fig_ismale,knn,3,0.4474007342571126,0.4509607686148919,0.450960768614892,1.0
5_hist_fig_ismale,xgboost,3,0.3333333333333333,0.5,0.5,0.5
5_hist_fig_ismale,mlp,3,0.4753979039878038,0.4843875100080064,0.4949775673220722,1.0
5_hist_fig_ismale,logreg,4,0.4186839695649584,0.5197197197197198,0.5199485178851933,1.0
5_hist_fig_ismale,pca,4,0.4312941780681459,0.4696696696696696,0.4928634938387234,1.0
5_hist_fig_ismale,knn,4,0.4616434283971657,0.463063063063063,0.463052781031393,0.75
5_hist_fig_ismale,xgboost,4,0.3332221169380806,0.4998998998998999,0.5,0.5
5_hist_fig_ismale,mlp,4,0.4461993995248396,0.4464464464464464,0.4540590421876949,1.0
5_hist_fig_ismale,logreg,5,0.4479991686874019,0.4983980776932318,0.4433933455428853,1.0
5_hist_fig_ismale,pca,5,0.4129709994425072,0.5112134561473769,0.5173270800411034,1.0
5_hist_fig_ismale,knn,5,0.4386612730063173,0.4415298358029635,0.4415298358029635,0.9166666666666666
5_hist_fig_ismale,xgboost,5,0.3333333333333333,0.5,0.5,0.5
5_hist_fig_ismale,mlp,5,0.4198658333830124,0.4381257509010813,0.4159979560574812,0.8333333333333334
5_hist_fig_ismale,logreg,7,0.4316530229904245,0.4681490384615384,0.4242804512861604,1.0
5_hist_fig_ismale,pca,7,0.4216308008241775,0.4731570512820512,0.3866821529832347,1.0
5_hist_fig_ismale,knn,7,0.3945147802809921,0.4022435897435897,0.4058108357988166,0.9583333333333334
5_hist_fig_ismale,xgboost,7,0.3333333333333333,0.5,0.5,0.5
5_hist_fig_ismale,mlp,7,0.4265381526104417,0.4499198717948718,0.4177753315561308,1.0
5_hist_fig_ismale,logreg,10,0.4171155512027674,0.4171176588494688,0.4157844960168935,0.8
5_hist_fig_ismale,pca,10,0.4480962551767888,0.4752455401884145,0.5320380938300016,0.84
5_hist_fig_ismale,knn,10,0.3766559120447453,0.396873120865905,0.397412708335677,0.84
5_hist_fig_ismale,xgboost,10,0.4491396923679348,0.4610142313088795,0.4577468489505072,0.56
5_hist_fig_ismale,mlp,10,0.4258192245428663,0.4361595510122269,0.4197218816140702,0.72
5_hist_fig_ismale,logreg,14,0.726914021920666,0.7303911735205617,0.8209815734457766,0.8333333333333334
5_hist_fig_ismale,pca,14,0.7359414000766102,0.7384152457372116,0.8359333903790968,1.0
5_hist_fig_ismale,knn,14,0.5761033909508136,0.6124373119358074,0.6269046105982787,0.75
5_hist_fig_ismale,xgboost,14,0.3332218938479206,0.4998996990972918,0.5,0.5
5_hist_fig_ismale,mlp,14,0.6980257200568751,0.7079237713139418,0.83898865458919,0.6666666666666666
5_hist_fig_ismale,logreg,20,0.7995448831694724,0.7995581442056637,0.8735199536595558,0.8333333333333334
5_hist_fig_ismale,pca,20,0.7714095639426503,0.7714400482024503,0.8595187499697465,0.875
5_hist_fig_ismale,knn,20,0.6644601067727026,0.6768427395059249,0.7369418211213676,0.5833333333333334
5_hist_fig_ismale,xgboost,20,0.333221759563708,0.4998995782285599,0.5,0.5
5_hist_fig_ismale,mlp,20,0.7365157090216073,0.7391042377987548,0.8408410661529203,0.5
5_hist_fig_ismale,logreg,28,0.7651313365016479,0.7656407161536914,0.8417345585985745,0.8472222222222223
5_hist_fig_ismale,pca,28,0.7931463192108564,0.7932005632669483,0.8753576972697003,0.9722222222222222
5_hist_fig_ismale,knn,28,0.6640077948155314,0.6783343391671696,0.7451582382468585,0.6597222222222222
5_hist_fig_ismale,xgboost,28,0.594599911375954,0.5948501307583988,0.685091320246499,0.625
5_hist_fig_ismale,mlp,28,0.7534441385368982,0.7541742104204385,0.8495881159847257,0.763888888888889
5_hist_fig_ismale,logreg,38,0.8244266205002124,0.8244305583551703,0.901826299228979,0.949074074074074
5_hist_fig_ismale,pca,38,0.7772787283099668,0.7780689377141705,0.8603335348649739,1.0
5_hist_fig_ismale,knn,38,0.7223349791270746,0.7226365652086273,0.7643354006579033,0.7361111111111112
5_hist_fig_ismale,xgboost,38,0.5916907184957041,0.5922193106228583,0.6833703891510967,0.6990740740740741
5_hist_fig_ismale,mlp,38,0.7592052905279253,0.7609352953033662,0.8658470504869266,0.875
5_hist_fig_ismale,logreg,53,0.868922540244565,0.8689850384148807,0.944040849422857,0.8916666666666667
