dataset,method,ratio,num_train,test_f1,test_acc,test_auc,val_auc
5_hist_fig_ismale,logreg,0.05,1024,0.9415731327516847,0.9570361145703612,0.9665492815219592,1.0
5_hist_fig_ismale,pca,0.05,1024,0.9739742778657792,0.9763387297633872,0.9359562841530054,0.9583333333333334
5_hist_fig_ismale,knn,0.05,1024,0.9249985979596632,0.9495641344956414,0.8597895162922485,0.9401041666666669
5_hist_fig_ismale,xgboost,0.05,1024,0.9469576831208524,0.9570361145703612,0.9487957903258448,0.9973958333333334
5_hist_fig_ismale,mlp,0.05,1024,0.9749529851153834,0.976961394769614,0.9531592794980772,0.9739583333333334
5_hist_fig_ismale,logreg,0.1,1024,0.9841875935633002,0.9844333748443338,0.9945969180511078,1.0
5_hist_fig_ismale,pca,0.1,1024,0.975858008363952,0.9763387297633872,0.989202432891315,0.9769021739130436
5_hist_fig_ismale,knn,0.1,1024,0.8800496395932622,0.9122042341220424,0.9098820090696124,0.9782608695652172
5_hist_fig_ismale,xgboost,0.1,1024,0.9397553023727596,0.9476961394769614,0.9836317135549872,0.9850543478260868
5_hist_fig_ismale,mlp,0.1,1024,0.9836737847189412,0.9838107098381071,0.9873412280513229,0.9904891304347826
5_hist_fig_ismale,logreg,0.15,1024,0.9765682972679988,0.976961394769614,0.9957959053394738,0.9992559523809524
5_hist_fig_ismale,pca,0.15,1024,0.9695168333612452,0.9701120797011208,0.9903971547125074,0.9895833333333334
5_hist_fig_ismale,knn,0.15,1024,0.8553347990966875,0.886052303860523,0.9158573100481814,0.9456845238095238
5_hist_fig_ismale,xgboost,0.15,1024,0.9428349352892976,0.946450809464508,0.9868283859985104,0.9858630952380952
5_hist_fig_ismale,mlp,0.15,1024,0.9784880890119364,0.978829389788294,0.9923213715744836,0.9970238095238094
5_hist_fig_ismale,logreg,0.2,1024,0.9812539845605504,0.9813200498132004,0.9950416981095568,1.0
5_hist_fig_ismale,pca,0.2,1024,0.9647066920362,0.9651307596513076,0.9916507033532632,0.995920745920746
5_hist_fig_ismale,knn,0.2,1024,0.8552819777916536,0.8760896637608966,0.9354501654379752,0.9472610722610724
5_hist_fig_ismale,xgboost,0.2,1024,0.870145647491494,0.886052303860523,0.970339679959753,0.9947552447552448
5_hist_fig_ismale,mlp,0.2,1024,0.9761691236608668,0.9763387297633872,0.995583483291732,0.9953379953379954
5_hist_fig_ismale,logreg,0.25,1024,0.9793740020850416,0.9794520547945206,0.9951705343713326,1.0
5_hist_fig_ismale,pca,0.25,1024,0.961807292077808,0.9620174346201744,0.9894340589411744,0.9993224932249324
5_hist_fig_ismale,knn,0.25,1024,0.8373382585500281,0.8542963885429639,0.9233018875721062,0.951219512195122
5_hist_fig_ismale,xgboost,0.25,1024,0.9168325987494356,0.9209215442092156,0.9843990181980464,0.9925474254742548
5_hist_fig_ismale,mlp,0.25,1024,0.9712114350798832,0.971357409713574,0.994192244756285,0.9932249322493224
5_hist_fig_ismale,logreg,0.3,1024,0.979408798167511,0.9794520547945206,0.9943712068634544,0.993125
5_hist_fig_ismale,pca,0.3,1024,0.9600040785553468,0.9601494396014943,0.9912767088495444,0.991875
5_hist_fig_ismale,knn,0.3,1024,0.849838488519139,0.8574097135740971,0.9263319354410008,0.9221875
5_hist_fig_ismale,xgboost,0.3,1024,0.9443425801813716,0.9452054794520548,0.9877918223298534,0.981875
5_hist_fig_ismale,mlp,0.3,1024,0.9794336745838188,0.9794520547945206,0.9965520296510684,0.9875
5_hist_fig_ismale,logreg,0.35,1024,0.9750831693023104,0.975093399750934,0.9949864528643124,1.0
5_hist_fig_ismale,pca,0.35,1024,0.9631619812015628,0.9632627646326276,0.991001500317604,0.9948574100046752
5_hist_fig_ismale,knn,0.35,1024,0.856996752683765,0.8617683686176837,0.9377163837747716,0.9417952314165496
5_hist_fig_ismale,xgboost,0.35,1024,0.9320113124165306,0.9327521793275216,0.9819757530964272,0.9878447872837774
5_hist_fig_ismale,mlp,0.35,1024,0.9700748830781046,0.9701120797011208,0.9941673237297112,1.0
5_hist_fig_ismale,logreg,0.4,1024,0.974467425274271,0.9744707347447074,0.9930532340453708,0.9995796553173604
5_hist_fig_ismale,pca,0.4,1024,0.9676214196762142,0.9676214196762142,0.9936596528797224,0.9957965531736024
5_hist_fig_ismale,knn,0.4,1024,0.8666571976614499,0.8692403486924035,0.9444840110528108,0.967843631778058
5_hist_fig_ismale,xgboost,0.4,1024,0.9375616346196216,0.937733499377335,0.9847854278603831,0.9991593106347204
5_hist_fig_ismale,mlp,0.4,1024,0.975060128252311,0.975093399750934,0.9954264230655562,0.9983186212694408
5_hist_fig_ismale,logreg,0.45,1024,0.9819368773601552,0.9819427148194272,0.994832466334278,1.0
5_hist_fig_ismale,pca,0.45,1024,0.9719783079154816,0.9719800747198007,0.994816802394703,0.9995941558441558
5_hist_fig_ismale,knn,0.45,1024,0.8807075425702776,0.8810709838107098,0.949898106073066,0.968952922077922
5_hist_fig_ismale,xgboost,0.45,1024,0.9501535950767072,0.950186799501868,0.9909869691686678,0.9849837662337664
5_hist_fig_ismale,mlp,0.45,1024,0.9713342228997064,0.971357409713574,0.9934900667127188,0.997564935064935
5_hist_fig_ismale,logreg,0.5,1024,0.9794519830941596,0.9794520547945206,0.99178361344212,0.9995998399359742
5_hist_fig_ismale,pca,0.5,1024,0.9645074203615326,0.9645080946450808,0.9904793512497498,0.9971988795518208
5_hist_fig_ismale,knn,0.5,1024,0.8823107926556202,0.8823163138231631,0.9453892548025848,0.9145658263305324
5_hist_fig_ismale,xgboost,0.5,1024,0.9545450139596956,0.9545454545454546,0.9867852340770678,0.9831932773109244
5_hist_fig_ismale,mlp,0.5,1024,0.9775835035429976,0.9775840597758406,0.9909554612296044,0.9995998399359745
5_hist_fig_ismale,logreg,0.55,1024,0.983184783906356,0.9831880448318804,0.994812361339166,0.9987824675324676
5_hist_fig_ismale,pca,0.55,1024,0.9775840597758406,0.9775840597758406,0.9944755016858652,0.9959415584415584
5_hist_fig_ismale,knn,0.55,1024,0.8765745010455805,0.8767123287671232,0.94517099936075,0.968952922077922
5_hist_fig_ismale,xgboost,0.55,1024,0.9557702803769096,0.955790784557908,0.988156641305574,0.9906655844155844
5_hist_fig_ismale,mlp,0.55,1024,0.9782053331771848,0.9782067247820672,0.9951100512653388,0.9959415584415584
5_hist_fig_ismale,logreg,0.6,1024,0.9744183957890148,0.9744707347447074,0.9924881400188724,1.0
5_hist_fig_ismale,pca,0.6,1024,0.9688161831373934,0.9688667496886676,0.9905314047129692,0.9982638888888888
5_hist_fig_ismale,knn,0.6,1024,0.874615192678744,0.8760896637608966,0.9435689494706636,0.953125
5_hist_fig_ismale,xgboost,0.6,1024,0.9423180116789508,0.9427148194271482,0.9848954899755692,0.9895833333333334
5_hist_fig_ismale,mlp,0.6,1024,0.9675503835988594,0.9676214196762142,0.9900692855573222,0.9982638888888888
5_hist_fig_ismale,logreg,0.65,1024,0.9806934106493572,0.980697384806974,0.9929294323775242,1.0
5_hist_fig_ismale,pca,0.65,1024,0.9656439549450327,0.9657534246575342,0.9894482622271308,1.0
5_hist_fig_ismale,knn,0.65,1024,0.8046122623890727,0.8200498132004981,0.9434303459183814,0.9556525735294118
5_hist_fig_ismale,xgboost,0.65,1024,0.9434250054135268,0.9439601494396016,0.985710584802498,0.9986213235294118
5_hist_fig_ismale,mlp,0.65,1024,0.970740740166133,0.9707347447073474,0.99148327674834,1.0
5_hist_fig_ismale,logreg,0.7,1024,0.9800141526981856,0.9800747198007472,0.9964961884961886,0.9990476190476192
5_hist_fig_ismale,pca,0.7,1024,0.9712880547478924,0.971357409713574,0.9946444906444906,0.9947619047619048
5_hist_fig_ismale,knn,0.7,1024,0.7925172149371243,0.8169364881693649,0.9323696003696004,0.9152380952380952
