dataset,method,num_train,test_f1,test_acc,test_auc,val_auc
5_hist_fig_ismale,logreg,2,0.4790672059843638,0.4816890134080448,0.495277053976114,1.0
5_hist_fig_ismale,pca,2,0.4458999827559303,0.4932959775865519,0.512098834730049,1.0
5_hist_fig_ismale,knn,2,0.4458999827559303,0.4932959775865519,0.4933545075356003,1.0
5_hist_fig_ismale,xgboost,2,0.3332221614489707,0.4998999399639784,0.5,0.5
5_hist_fig_ismale,mlp,2,0.4387236678090202,0.4926956173704223,0.4865726915265705,1.0
5_hist_fig_ismale,logreg,3,0.4228652480965167,0.5172137710168134,0.5421786588598341,1.0
5_hist_fig_ismale,pca,3,0.4613692582805004,0.471377101681345,0.4368042071767903,1.0
5_hist_fig_ismale,knn,3,0.4330090791180285,0.4507606084867894,0.4507606084867894,1.0
5_hist_fig_ismale,xgboost,3,0.3333333333333333,0.5,0.5,0.5
5_hist_fig_ismale,mlp,3,0.4396803832692152,0.4695756605284227,0.4593043530100301,1.0
5_hist_fig_ismale,logreg,4,0.5109131356912552,0.5295295295295295,0.5881776306106961,1.0
5_hist_fig_ismale,pca,4,0.4360094520354793,0.5357357357357357,0.6117674275583863,1.0
5_hist_fig_ismale,knn,4,0.4761019431400658,0.4770770770770771,0.4770857134245642,0.75
5_hist_fig_ismale,xgboost,4,0.3332221169380806,0.4998998998998999,0.5,0.5
5_hist_fig_ismale,mlp,4,0.5007788804852052,0.5025025025025025,0.4938433726556736,0.5
5_hist_fig_ismale,logreg,5,0.4457840484464388,0.5054064877853424,0.512976003723491,1.0
5_hist_fig_ismale,pca,5,0.4817246436149794,0.4991990388466159,0.4961542156555026,1.0
5_hist_fig_ismale,knn,5,0.4717333039138702,0.4777733279935923,0.4777733279935922,0.75
5_hist_fig_ismale,xgboost,5,0.3333333333333333,0.5,0.5,0.5
5_hist_fig_ismale,mlp,5,0.4589905090354753,0.4787745294353224,0.4868118073285861,1.0
5_hist_fig_ismale,logreg,7,0.4320180884979447,0.4783653846153846,0.4976815468852728,1.0
5_hist_fig_ismale,pca,7,0.4347522262902329,0.453125,0.4343903771675707,1.0
5_hist_fig_ismale,knn,7,0.465209261554721,0.4705528846153846,0.4601790749815089,0.75
5_hist_fig_ismale,xgboost,7,0.3333333333333333,0.5,0.5,0.5
5_hist_fig_ismale,mlp,7,0.4499498020797368,0.4895833333333333,0.4792613694732084,0.9166666666666666
5_hist_fig_ismale,logreg,10,0.5407782602689294,0.5411906193625977,0.5681177913163937,0.8
5_hist_fig_ismale,pca,10,0.4370223451623076,0.4543996792944478,0.4788362611349403,0.88
5_hist_fig_ismale,knn,10,0.4580354096041495,0.4680296652635798,0.4651419920836058,0.68
5_hist_fig_ismale,xgboost,10,0.3332219831912983,0.4998997795149328,0.5,0.5
5_hist_fig_ismale,mlp,10,0.4818666861353599,0.4820605331729805,0.4876707705708129,0.68
5_hist_fig_ismale,logreg,14,0.6465927378032077,0.6625877632898696,0.7411504218231595,0.8333333333333334
5_hist_fig_ismale,pca,14,0.520514532435389,0.5354062186559679,0.5954248138769292,0.8333333333333334
5_hist_fig_ismale,knn,14,0.4928371300342384,0.5723169508525576,0.6193732499151718,0.75
5_hist_fig_ismale,xgboost,14,0.3332218938479206,0.4998996990972918,0.5,0.5
5_hist_fig_ismale,mlp,14,0.7450438468586688,0.7474423269809428,0.8307010834188054,0.9166666666666666
5_hist_fig_ismale,logreg,20,0.7578296730568272,0.7579835308294839,0.8227978204501413,0.9166666666666666
5_hist_fig_ismale,pca,20,0.7182141223304219,0.7182165093392248,0.8004282295917298,0.9583333333333334
5_hist_fig_ismale,knn,20,0.7089565580221748,0.7115886724241816,0.7116077810639909,0.75
5_hist_fig_ismale,xgboost,20,0.6660743146207333,0.66659971881904,0.7216475383252576,0.75
5_hist_fig_ismale,mlp,20,0.75100901465985,0.7511548503715606,0.8407181155316323,0.75
5_hist_fig_ismale,logreg,28,0.8553473262027829,0.8553610943472139,0.9333644667684304,0.7916666666666666
5_hist_fig_ismale,pca,28,0.7141005206944749,0.7153490243411789,0.8046590079495477,0.8055555555555557
5_hist_fig_ismale,knn,28,0.7162831856839331,0.7169583584791792,0.716968180766012,0.6944444444444443
5_hist_fig_ismale,xgboost,28,0.3332215800138658,0.499899416616375,0.5,0.5
5_hist_fig_ismale,mlp,28,0.7837496115080197,0.7845503922751962,0.8799696003859035,0.7222222222222222
5_hist_fig_ismale,logreg,38,0.8219356806112706,0.822011691191292,0.906608450026654,0.8287037037037037
5_hist_fig_ismale,pca,38,0.8480111043201266,0.8480145132029833,0.9383217290114548,0.8194444444444445
5_hist_fig_ismale,knn,38,0.7206350016812382,0.7218302761540012,0.7928700868536359,0.7754629629629629
