dataset,method,ratio,num_train,test_f1,test_acc,test_auc,val_auc
5_hist_fig_ismale,logreg,0.05,1024,0.9796134128129436,0.9813200498132004,0.997109896782028,1.0
5_hist_fig_ismale,pca,0.05,1024,0.9668472920431348,0.971357409713574,0.9831127302165554,0.9947916666666666
5_hist_fig_ismale,knn,0.05,1024,0.9280204843928896,0.9508094645080948,0.8537704918032787,1.0
5_hist_fig_ismale,xgboost,0.05,1024,0.9364352327471196,0.9545454545454546,0.9623234163124872,0.9973958333333334
5_hist_fig_ismale,logreg,0.1,1024,0.9860230574738668,0.9863013698630136,0.9962732919254658,1.0
5_hist_fig_ismale,pca,0.1,1024,0.983330273926974,0.9838107098381071,0.9941111994669992,0.997282608695652
5_hist_fig_ismale,knn,0.1,1024,0.8611543300530937,0.9034869240348692,0.8795783274946807,0.9612771739130436
5_hist_fig_ismale,xgboost,0.1,1024,0.9288434562010914,0.9402241594022416,0.9889531260074362,0.96875
5_hist_fig_ismale,logreg,0.15,1024,0.9886937538911748,0.9887920298879204,0.9989117383308256,0.9977678571428572
5_hist_fig_ismale,pca,0.15,1024,0.9501807502282084,0.952054794520548,0.977100907391364,0.984375
5_hist_fig_ismale,knn,0.15,1024,0.7809929358644564,0.8499377334993773,0.8812259662882069,0.9460565476190476
5_hist_fig_ismale,xgboost,0.15,1024,0.9396364376025446,0.944582814445828,0.9924338455458788,0.9821428571428572
5_hist_fig_ismale,logreg,0.2,1024,0.9875174670607306,0.987546699875467,0.998485903910528,1.0
5_hist_fig_ismale,pca,0.2,1024,0.9723385512802468,0.9726027397260274,0.9959003308759504,1.0
5_hist_fig_ismale,knn,0.2,1024,0.8495110678172251,0.8735990037359901,0.9256520771656896,0.9644522144522144
5_hist_fig_ismale,xgboost,0.2,1024,0.8914555373103077,0.9028642590286424,0.9804788026547472,0.9918414918414918
5_hist_fig_ismale,logreg,0.25,1024,0.9850310712935944,0.9850560398505604,0.9987665493132344,1.0
5_hist_fig_ismale,pca,0.25,1024,0.9749664652868548,0.975093399750934,0.99535544867027,1.0
5_hist_fig_ismale,knn,0.25,1024,0.8450115255016897,0.8623910336239103,0.9267935653956132,0.9478319783197832
5_hist_fig_ismale,xgboost,0.25,1024,0.9554994154206424,0.9564134495641344,0.9945310821308738,1.0
5_hist_fig_ismale,logreg,0.3,1024,0.9716861678622756,0.9719800747198007,0.9985030492757048,0.99125
5_hist_fig_ismale,pca,0.3,1024,0.9793706833600776,0.9794520547945206,0.996828900931764,0.99
5_hist_fig_ismale,knn,0.3,1024,0.8669636875421387,0.8742216687422167,0.9178504452090196,0.9325
5_hist_fig_ismale,xgboost,0.3,1024,0.9615405776712987,0.9620174346201744,0.9955479098064116,0.97875
5_hist_fig_ismale,logreg,0.35,1024,0.9906694497609398,0.9906600249066002,0.998756831043121,1.0
5_hist_fig_ismale,pca,0.35,1024,0.9787940857240937,0.978829389788294,0.9956863740167472,1.0
5_hist_fig_ismale,knn,0.35,1024,0.8507586917837598,0.8580323785803238,0.9362313929112124,0.9457690509583916
5_hist_fig_ismale,xgboost,0.35,1024,0.9578535941897875,0.9582814445828144,0.9949047102479696,0.9897148200093502
5_hist_fig_ismale,logreg,0.4,1024,0.987568163480928,0.987546699875467,0.9981540965974331,1.0
5_hist_fig_ismale,pca,0.4,1024,0.9788401826684928,0.978829389788294,0.997005857473002,0.9987389659520808
5_hist_fig_ismale,knn,0.4,1024,0.8561595732740421,0.861145703611457,0.9374427697271842,0.9602774274905422
5_hist_fig_ismale,xgboost,0.4,1024,0.9607463344563056,0.960772104607721,0.99350461637347,0.9932744850777636
5_hist_fig_ismale,logreg,0.45,1024,0.9937748707133564,0.9937733499377336,0.9985933782261842,1.0
5_hist_fig_ismale,pca,0.45,1024,0.9819319470302108,0.9819427148194272,0.997094339208877,1.0
5_hist_fig_ismale,knn,0.45,1024,0.8696129288028578,0.8717310087173101,0.9469470198571762,0.9415584415584416
5_hist_fig_ismale,xgboost,0.45,1024,0.9700878847649111,0.9701120797011208,0.9966745456282726,0.989042207792208
5_hist_fig_ismale,logreg,0.5,1024,0.9887917517714988,0.9887920298879204,0.9956405695329936,1.0
5_hist_fig_ismale,pca,0.5,1024,0.9863013486185036,0.9863013698630136,0.9954187984348856,1.0
5_hist_fig_ismale,knn,0.5,1024,0.8746973753314461,0.8748443337484434,0.9441857976548094,0.915766306522609
5_hist_fig_ismale,xgboost,0.5,1024,0.9588989465324912,0.958904109589041,0.9904126648356336,0.9863945578231292
5_hist_fig_ismale,logreg,0.55,1024,0.9894097854423588,0.9894146948941468,0.9961864353668168,0.9991883116883116
5_hist_fig_ismale,pca,0.55,1024,0.9869197553922094,0.9869240348692404,0.9956129905616624,1.0
5_hist_fig_ismale,knn,0.55,1024,0.851216490600826,0.8518057285180572,0.9397452087589776,0.9443993506493508
5_hist_fig_ismale,logreg,0.6,1024,0.9900321065672466,0.9900373599003736,0.9980594227065316,1.0
5_hist_fig_ismale,pca,0.6,1024,0.979438465911582,0.9794520547945206,0.9962933519473638,1.0
5_hist_fig_ismale,knn,0.6,1024,0.8769760562099606,0.8773349937733499,0.9467738912371868,0.961154513888889
5_hist_fig_ismale,logreg,0.65,1024,0.9894036895651224,0.9894146948941468,0.9972934647741372,1.0
5_hist_fig_ismale,pca,0.65,1024,0.9750192741082044,0.975093399750934,0.9944199015557464,1.0
5_hist_fig_ismale,knn,0.65,1024,0.8624299022852803,0.8655043586550436,0.934191823127582,0.9356617647058824
5_hist_fig_ismale,logreg,0.7,1024,0.984991898977038,0.9850560398505604,0.9957699237699238,1.0
5_hist_fig_ismale,pca,0.7,1024,0.9806206178883978,0.980697384806974,0.9957810117810116,0.9995238095238096
5_hist_fig_ismale,knn,0.7,1024,0.8584791143036726,0.864881693648817,0.9234613074613074,0.943809523809524
5_hist_fig_ismale,logreg,0.75,1024,0.9887541074559044,0.9887920298879204,0.9941991494293312,1.0
5_hist_fig_ismale,pca,0.75,1024,0.9750091276797872,0.975093399750934,0.9904098674475637,1.0
5_hist_fig_ismale,knn,0.75,1024,0.8606606515641616,0.8692403486924035,0.9319729721339806,0.9375
5_hist_fig_ismale,logreg,0.8,1024,0.9924833867404064,0.9925280199252802,0.9941913039262034,0.9871794871794872
5_hist_fig_ismale,pca,0.8,1024,0.988711332172385,0.9887920298879204,0.9933282422391118,0.9836829836829836
5_hist_fig_ismale,knn,0.8,1024,0.8618766676268212,0.8773349937733499,0.9085433409699748,0.9312354312354312
5_hist_fig_ismale,logreg,0.85,1024,0.994361708812666,0.99439601494396,0.9968521229868228,1.0
5_hist_fig_ismale,pca,0.85,1024,0.977749286439063,0.9782067247820672,0.9929630307467056,1.0
