dataset,method,num_train,test_f1,test_acc,test_auc,val_auc
5_hist_fig_ismale,logreg,2,0.4157451126766555,0.4834900940564338,0.495337286235551,1.0
5_hist_fig_ismale,pca,2,0.3494389181586694,0.4266559935961577,0.3967454075305062,1.0
5_hist_fig_ismale,knn,2,0.3494389181586694,0.4266559935961577,0.4265870479496843,1.0
5_hist_fig_ismale,xgboost,2,0.3332221614489707,0.4998999399639784,0.5,0.5
5_hist_fig_ismale,mlp,2,0.4448633192276815,0.5347208324994998,0.614520748251262,1.0
5_hist_fig_ismale,logreg,3,0.3439855852837579,0.5042033626901521,0.5929619596397695,1.0
5_hist_fig_ismale,pca,3,0.3519834968814504,0.5068054443554844,0.6275250785095651,1.0
5_hist_fig_ismale,knn,3,0.3920272972559225,0.511208967173739,0.511208967173739,1.0
5_hist_fig_ismale,xgboost,3,0.3333333333333333,0.5,0.5,0.5
5_hist_fig_ismale,mlp,3,0.5641769782521316,0.5928742994395516,0.6879596551540672,1.0
5_hist_fig_ismale,logreg,4,0.5815876825939719,0.6128128128128129,0.749533387222393,0.5
5_hist_fig_ismale,pca,4,0.3378781970935727,0.5021021021021022,0.52162074072554,0.5
5_hist_fig_ismale,knn,4,0.5604969143707882,0.5821821821821822,0.582137716580954,0.625
5_hist_fig_ismale,xgboost,4,0.3332221169380806,0.4998998998998999,0.5,0.5
5_hist_fig_ismale,mlp,4,0.5215220436074975,0.5693693693693693,0.5807951126620159,0.5
5_hist_fig_ismale,logreg,5,0.4904132574026477,0.566680016019223,0.6187979840927255,0.6666666666666666
5_hist_fig_ismale,pca,5,0.3534257339636373,0.5030036043251902,0.4190531240612484,0.8333333333333334
5_hist_fig_ismale,knn,5,0.541592471090853,0.5426511814177012,0.5481081101887744,0.9166666666666666
5_hist_fig_ismale,xgboost,5,0.3333333333333333,0.5,0.5,0.5
5_hist_fig_ismale,mlp,5,0.4915822203869026,0.55126151381658,0.445611385645153,0.3333333333333333
5_hist_fig_ismale,logreg,7,0.4925318929899847,0.5566907051282052,0.5634523250020546,0.9166666666666666
5_hist_fig_ismale,pca,7,0.37890820117798,0.4965945512820512,0.4255135139299802,0.9166666666666666
