sae1,sae2,win_rate
ReLU (orig.),ReLU (new),0.4424778761061947
ReLU (orig.),Gated,0.49557522123893805
ReLU (orig.),TopK,0.48672566371681414
ReLU (orig.),Jump ReLU,0.504424778761062
ReLU (orig.),Batch TopK,0.504424778761062
ReLU (orig.),p-anneal,0.4336283185840708
ReLU (orig.),Matryoshka,0.4247787610619469
ReLU (new),ReLU (orig.),0.5221238938053098
ReLU (new),Gated,0.5132743362831859
ReLU (new),TopK,0.5132743362831859
ReLU (new),Jump ReLU,0.5221238938053098
ReLU (new),Batch TopK,0.5221238938053098
ReLU (new),p-anneal,0.48672566371681414
ReLU (new),Matryoshka,0.48672566371681414
Gated,ReLU (orig.),0.49557522123893805
Gated,ReLU (new),0.4778761061946903
Gated,TopK,0.46017699115044247
Gated,Jump ReLU,0.46017699115044247
Gated,Batch TopK,0.5221238938053098
Gated,p-anneal,0.415929203539823
Gated,Matryoshka,0.49557522123893805
TopK,ReLU (orig.),0.49557522123893805
TopK,ReLU (new),0.4778761061946903
TopK,Gated,0.5309734513274337
TopK,Jump ReLU,0.504424778761062
TopK,Batch TopK,0.49557522123893805
TopK,p-anneal,0.49557522123893805
TopK,Matryoshka,0.45132743362831856
Jump ReLU,ReLU (orig.),0.4778761061946903
Jump ReLU,ReLU (new),0.46017699115044247
Jump ReLU,Gated,0.5221238938053098
Jump ReLU,TopK,0.48672566371681414
Jump ReLU,Batch TopK,0.49557522123893805
Jump ReLU,p-anneal,0.4690265486725664
Jump ReLU,Matryoshka,0.45132743362831856
Batch TopK,ReLU (orig.),0.4778761061946903
Batch TopK,ReLU (new),0.4690265486725664
Batch TopK,Gated,0.46017699115044247
Batch TopK,TopK,0.48672566371681414
Batch TopK,Jump ReLU,0.4778761061946903
Batch TopK,p-anneal,0.4336283185840708
Batch TopK,Matryoshka,0.49557522123893805
p-anneal,ReLU (orig.),0.5398230088495575
p-anneal,ReLU (new),0.48672566371681414
p-anneal,Gated,0.5575221238938053
p-anneal,TopK,0.49557522123893805
p-anneal,Jump ReLU,0.504424778761062
p-anneal,Batch TopK,0.5486725663716814
p-anneal,Matryoshka,0.49557522123893805
Matryoshka,ReLU (orig.),0.5663716814159292
Matryoshka,ReLU (new),0.504424778761062
Matryoshka,Gated,0.48672566371681414
Matryoshka,TopK,0.5221238938053098
Matryoshka,Jump ReLU,0.5221238938053098
Matryoshka,Batch TopK,0.4778761061946903
Matryoshka,p-anneal,0.48672566371681414
