sae1,sae2,win_rate
ReLU (orig.),ReLU (new),0.40707964601769914
ReLU (orig.),Gated,0.5309734513274337
ReLU (orig.),TopK,0.46017699115044247
ReLU (orig.),Jump ReLU,0.5221238938053098
ReLU (orig.),Batch TopK,0.5929203539823009
ReLU (orig.),p-anneal,0.5486725663716814
ReLU (orig.),Matryoshka,0.5221238938053098
ReLU (new),ReLU (orig.),0.5752212389380531
ReLU (new),Gated,0.5752212389380531
ReLU (new),TopK,0.5486725663716814
ReLU (new),Jump ReLU,0.6371681415929203
ReLU (new),Batch TopK,0.6194690265486725
ReLU (new),p-anneal,0.5575221238938053
ReLU (new),Matryoshka,0.6194690265486725
Gated,ReLU (orig.),0.45132743362831856
Gated,ReLU (new),0.40707964601769914
Gated,TopK,0.5486725663716814
Gated,Jump ReLU,0.5575221238938053
Gated,Batch TopK,0.6106194690265486
Gated,p-anneal,0.46017699115044247
Gated,Matryoshka,0.5221238938053098
TopK,ReLU (orig.),0.5221238938053098
TopK,ReLU (new),0.4336283185840708
TopK,Gated,0.4336283185840708
TopK,Jump ReLU,0.46017699115044247
TopK,Batch TopK,0.6194690265486725
TopK,p-anneal,0.5132743362831859
TopK,Matryoshka,0.5221238938053098
Jump ReLU,ReLU (orig.),0.45132743362831856
Jump ReLU,ReLU (new),0.35398230088495575
Jump ReLU,Gated,0.4247787610619469
Jump ReLU,TopK,0.5221238938053098
Jump ReLU,Batch TopK,0.5663716814159292
Jump ReLU,p-anneal,0.4247787610619469
Jump ReLU,Matryoshka,0.4778761061946903
Batch TopK,ReLU (orig.),0.39823008849557523
Batch TopK,ReLU (new),0.37168141592920356
Batch TopK,Gated,0.3805309734513274
Batch TopK,TopK,0.36283185840707965
Batch TopK,Jump ReLU,0.415929203539823
Batch TopK,p-anneal,0.39823008849557523
Batch TopK,Matryoshka,0.4778761061946903
p-anneal,ReLU (orig.),0.4424778761061947
p-anneal,ReLU (new),0.4336283185840708
p-anneal,Gated,0.5309734513274337
p-anneal,TopK,0.4778761061946903
p-anneal,Jump ReLU,0.5663716814159292
p-anneal,Batch TopK,0.5929203539823009
p-anneal,Matryoshka,0.5132743362831859
Matryoshka,ReLU (orig.),0.4690265486725664
Matryoshka,ReLU (new),0.37168141592920356
Matryoshka,Gated,0.46017699115044247
Matryoshka,TopK,0.4690265486725664
Matryoshka,Jump ReLU,0.504424778761062
Matryoshka,Batch TopK,0.5132743362831859
Matryoshka,p-anneal,0.4778761061946903
