sae1,sae2,win_rate
ReLU (orig.),ReLU (new),0.3805309734513274
ReLU (orig.),Gated,0.504424778761062
ReLU (orig.),TopK,0.4778761061946903
ReLU (orig.),Jump ReLU,0.5929203539823009
ReLU (orig.),Batch TopK,0.6017699115044248
ReLU (orig.),p-anneal,0.5221238938053098
ReLU (orig.),Matryoshka,0.5663716814159292
ReLU (new),ReLU (orig.),0.6106194690265486
ReLU (new),Gated,0.5575221238938053
ReLU (new),TopK,0.5663716814159292
ReLU (new),Jump ReLU,0.6991150442477876
ReLU (new),Batch TopK,0.6194690265486725
ReLU (new),p-anneal,0.6106194690265486
ReLU (new),Matryoshka,0.6106194690265486
Gated,ReLU (orig.),0.49557522123893805
Gated,ReLU (new),0.4424778761061947
Gated,TopK,0.45132743362831856
Gated,Jump ReLU,0.5132743362831859
Gated,Batch TopK,0.5575221238938053
Gated,p-anneal,0.4690265486725664
Gated,Matryoshka,0.5221238938053098
TopK,ReLU (orig.),0.5221238938053098
TopK,ReLU (new),0.4336283185840708
TopK,Gated,0.5486725663716814
TopK,Jump ReLU,0.5486725663716814
TopK,Batch TopK,0.584070796460177
TopK,p-anneal,0.5221238938053098
TopK,Matryoshka,0.5929203539823009
Jump ReLU,ReLU (orig.),0.40707964601769914
Jump ReLU,ReLU (new),0.3008849557522124
Jump ReLU,Gated,0.48672566371681414
Jump ReLU,TopK,0.4424778761061947
Jump ReLU,Batch TopK,0.5575221238938053
Jump ReLU,p-anneal,0.36283185840707965
Jump ReLU,Matryoshka,0.504424778761062
Batch TopK,ReLU (orig.),0.39823008849557523
Batch TopK,ReLU (new),0.3805309734513274
Batch TopK,Gated,0.4424778761061947
Batch TopK,TopK,0.415929203539823
Batch TopK,Jump ReLU,0.4424778761061947
Batch TopK,p-anneal,0.415929203539823
Batch TopK,Matryoshka,0.5132743362831859
p-anneal,ReLU (orig.),0.4778761061946903
p-anneal,ReLU (new),0.3893805309734513
p-anneal,Gated,0.5309734513274337
p-anneal,TopK,0.4778761061946903
p-anneal,Jump ReLU,0.6371681415929203
p-anneal,Batch TopK,0.584070796460177
p-anneal,Matryoshka,0.5486725663716814
Matryoshka,ReLU (orig.),0.4336283185840708
Matryoshka,ReLU (new),0.3893805309734513
Matryoshka,Gated,0.4778761061946903
Matryoshka,TopK,0.40707964601769914
Matryoshka,Jump ReLU,0.49557522123893805
Matryoshka,Batch TopK,0.48672566371681414
Matryoshka,p-anneal,0.45132743362831856
