sae1,sae2,win_rate
ReLU (orig.),ReLU (new),0.125
ReLU (orig.),Gated,0.25
ReLU (orig.),TopK,0.625
ReLU (orig.),Jump ReLU,0.375
ReLU (orig.),Batch TopK,0.5
ReLU (orig.),p-anneal,0.5
ReLU (orig.),Matryoshka,0.375
ReLU (new),ReLU (orig.),0.875
ReLU (new),Gated,0.625
ReLU (new),TopK,0.625
ReLU (new),Jump ReLU,0.5
ReLU (new),Batch TopK,0.875
ReLU (new),p-anneal,0.5
ReLU (new),Matryoshka,0.75
Gated,ReLU (orig.),0.75
Gated,ReLU (new),0.375
Gated,TopK,0.75
Gated,Jump ReLU,0.625
Gated,Batch TopK,0.75
Gated,p-anneal,0.625
Gated,Matryoshka,0.5
TopK,ReLU (orig.),0.375
TopK,ReLU (new),0.375
TopK,Gated,0.25
TopK,Jump ReLU,0.25
TopK,Batch TopK,0.75
TopK,p-anneal,0.25
TopK,Matryoshka,0.625
Jump ReLU,ReLU (orig.),0.625
Jump ReLU,ReLU (new),0.5
Jump ReLU,Gated,0.375
Jump ReLU,TopK,0.75
Jump ReLU,Batch TopK,0.625
Jump ReLU,p-anneal,0.625
Jump ReLU,Matryoshka,0.5
Batch TopK,ReLU (orig.),0.5
Batch TopK,ReLU (new),0.125
Batch TopK,Gated,0.25
Batch TopK,TopK,0.25
Batch TopK,Jump ReLU,0.375
Batch TopK,p-anneal,0.375
Batch TopK,Matryoshka,0.375
p-anneal,ReLU (orig.),0.5
p-anneal,ReLU (new),0.5
p-anneal,Gated,0.375
p-anneal,TopK,0.75
p-anneal,Jump ReLU,0.375
p-anneal,Batch TopK,0.625
p-anneal,Matryoshka,0.375
Matryoshka,ReLU (orig.),0.625
Matryoshka,ReLU (new),0.25
Matryoshka,Gated,0.5
Matryoshka,TopK,0.375
Matryoshka,Jump ReLU,0.5
Matryoshka,Batch TopK,0.625
Matryoshka,p-anneal,0.625
