sae1,sae2,win_rate
ReLU (orig.),ReLU (new),0.5309734513274337
ReLU (orig.),Gated,0.584070796460177
ReLU (orig.),TopK,0.5752212389380531
ReLU (orig.),Batch TopK,0.5929203539823009
ReLU (orig.),Jump ReLU,0.584070796460177
ReLU (orig.),p-anneal,0.5663716814159292
ReLU (orig.),Matryoshka,0.504424778761062
ReLU (new),ReLU (orig.),0.4690265486725664
ReLU (new),Gated,0.584070796460177
ReLU (new),TopK,0.5575221238938053
ReLU (new),Batch TopK,0.5929203539823009
ReLU (new),Jump ReLU,0.5752212389380531
ReLU (new),p-anneal,0.6194690265486725
ReLU (new),Matryoshka,0.5486725663716814
Gated,ReLU (orig.),0.415929203539823
Gated,ReLU (new),0.415929203539823
Gated,TopK,0.4247787610619469
Gated,Batch TopK,0.4336283185840708
Gated,Jump ReLU,0.4778761061946903
Gated,p-anneal,0.4690265486725664
Gated,Matryoshka,0.4336283185840708
TopK,ReLU (orig.),0.4247787610619469
TopK,ReLU (new),0.4424778761061947
TopK,Gated,0.5752212389380531
TopK,Batch TopK,0.504424778761062
TopK,Jump ReLU,0.5663716814159292
TopK,p-anneal,0.49557522123893805
TopK,Matryoshka,0.3893805309734513
Batch TopK,ReLU (orig.),0.40707964601769914
Batch TopK,ReLU (new),0.40707964601769914
Batch TopK,Gated,0.5663716814159292
Batch TopK,TopK,0.49557522123893805
Batch TopK,Jump ReLU,0.4690265486725664
Batch TopK,p-anneal,0.504424778761062
Batch TopK,Matryoshka,0.45132743362831856
Jump ReLU,ReLU (orig.),0.415929203539823
Jump ReLU,ReLU (new),0.4247787610619469
Jump ReLU,Gated,0.5221238938053098
Jump ReLU,TopK,0.4336283185840708
Jump ReLU,Batch TopK,0.5309734513274337
Jump ReLU,p-anneal,0.5132743362831859
Jump ReLU,Matryoshka,0.39823008849557523
p-anneal,ReLU (orig.),0.4336283185840708
p-anneal,ReLU (new),0.3805309734513274
p-anneal,Gated,0.5309734513274337
p-anneal,TopK,0.504424778761062
p-anneal,Batch TopK,0.49557522123893805
p-anneal,Jump ReLU,0.48672566371681414
p-anneal,Matryoshka,0.4336283185840708
Matryoshka,ReLU (orig.),0.49557522123893805
Matryoshka,ReLU (new),0.45132743362831856
Matryoshka,Gated,0.5663716814159292
Matryoshka,TopK,0.6106194690265486
Matryoshka,Batch TopK,0.5486725663716814
Matryoshka,Jump ReLU,0.6017699115044248
Matryoshka,p-anneal,0.5663716814159292
