dataset,best_feature,test_auc
5_hist_fig_ismale,81210,0.8921327410866811
6_hist_fig_isamerican,96923,0.7466338038295197
7_hist_fig_ispolitician,17105,0.6090298712253389
21_headline_istrump,22915,0.8123852576961516
22_headline_isobama,10555,0.781806309021499
23_headline_ischina,121630,0.683020890979524
24_headline_isiran,93199,0.6056098597535062
26_headline_isfrontpage,94381,0.5543632960318529
36_sciq_tf,75281,0.7448557727846699
41_truthqa_tf,23417,0.5308163265306123
42_temp_sense,106376,0.6735475792988314
44_phys_tf,63940,0.7030497023408696
47_reasoning_tf,43659,0.7030713692232761
48_cm_correct,105158,0.6060530267665379
49_cm_isshort,106376,0.9997189984395554
50_deon_isvalid,4138,0.5733573560132814
51_just_is,67220,0.5633378783015153
52_virtue_is,90807,0.6925217142891875
54_cs_tf,2372,0.5063687358170158
56_wikidatasex_or_gender,81210,0.9943470586984413
57_wikidatais_alive,4613,0.7719279947424862
58_wikidatapolitical_party,81728,0.8328728941830846
59_wikidata_occupation_isjournalist,35285,0.7378016965698321
60_wikidata_occupation_isathlete,4314,0.6817248459958932
61_wikidata_occupation_isactor,91505,0.8301557713670179
62_wikidata_occupation_ispolitician,96923,0.6739783552698018
63_wikidata_occupation_issinger,29438,0.784844481098731
64_wikidata_occupation_isresearcher,108755,0.7406614323102545
65_high-school,74373,0.995635248119487
66_living-room,122774,0.9986376444763423
67_social-security,6647,0.9991459900427512
68_credit-card,112479,0.9917820566589102
69_blood-pressure,119295,0.9996964459656907
70_prime-factors,103547,0.998517743113805
71_social-media,123724,0.9988373626819633
72_gene-expression,40168,0.913811370339304
73_control-group,48647,0.9765197995021375
74_magnetic-field,97591,0.9742296153742087
75_cell-lines,5709,0.9741175794144704
76_trial-court,115069,0.9734309892310191
77_second-derivative,89360,0.963620444152822
78_north-america,115669,0.983713776448942
79_human-rights,65181,0.9956124181503329
80_side-effects,9376,0.9934757021483848
81_public-health,35110,0.9973694802207912
82_federal-government,20975,0.9876658977758537
83_third-party,33051,0.9781897694680448
84_clinical-trials,27590,0.9583843484495914
85_mental-health,91292,0.9975140700254341
87_glue_cola,71935,0.6324683126438551
89_glue_mrpc,25374,0.7483905417684017
90_glue_qnli,20736,0.7282259232293611
91_glue_qqp,121016,0.7415314736936971
92_glue_sst2,88409,0.6186802495901428
94_ai_gen,70370,0.7912925464209515
95_toxic_is,40273,0.7140816326530612
96_spam_is,35460,0.9066375704673576
100_news_fake,31726,0.9684813753581663
105_click_bait,78823,0.9674351323562024
106_hate_hate,49865,0.5323675824448452
107_hate_offensive,35400,0.6481949067327973
110_aimade_humangpt3,105150,0.8158267673479225
113_movie_sent,30827,0.6954774697505617
114_nyc_borough_Manhattan,55245,0.5011466152758609
115_nyc_borough_Brooklyn,42249,0.5372765678123002
116_nyc_borough_Bronx,106231,0.5093454404685764
117_us_state_FL,109586,0.8951020408163266
118_us_state_CA,121764,0.7338775510204081
119_us_state_TX,76600,0.9299999999999999
120_us_timezone_Chicago,118103,0.5732288311254944
121_us_timezone_New_York,106376,0.4796330422783756
122_us_timezone_Los_Angeles,121764,0.6560964464639752
123_world_country_United_Kingdom,100153,0.9777262093109368
124_world_country_United_States,128570,0.7474038105497021
125_world_country_Italy,50817,0.9886663917595181
126_art_type_book,28491,0.6031391246706279
127_art_type_song,2372,0.5988353041797375
128_art_type_movie,68864,0.5316028114435855
129_arith_mc_A,100635,0.5724677214038917
130_temp_cat_Frequency,107181,0.94
131_temp_cat_Typical Time,109960,0.9130612244897959
132_temp_cat_Event Ordering,18897,0.9081632653061225
133_context_type_Causality,89524,0.9469421618204805
134_context_type_Belief_states,113152,0.6378792667509482
135_context_type_Event_duration,18897,0.8761061946902655
136_glue_mnli_entailment,121016,0.6865234389678948
137_glue_mnli_neutral,3717,0.5437131076943427
138_glue_mnli_contradiction,121016,0.6697914114486961
139_news_class_Politics,111809,0.6782808058745445
140_news_class_Technology,74399,0.6845245318124823
141_news_class_Entertainment,111809,0.6376671704301846
142_cancer_cat_Thyroid_Cancer,66831,0.6557867537059704
143_cancer_cat_Lung_Cancer,124051,0.7937576499388006
144_cancer_cat_Colon_Cancer,118890,0.7448660410716715
145_disease_class_digestive system diseases,31683,0.49183673469387756
146_disease_class_cardiovascular diseases,76669,0.5114285714285715
147_disease_class_nervous system diseases,4385,0.5828571428571429
148_twt_emotion_worry,21226,0.5075619684283681
149_twt_emotion_happiness,75244,0.5106286748077793
150_twt_emotion_sadness,66831,0.517398226899501
151_it_tick_HR Support,86828,0.5962514161863948
152_it_tick_Hardware,71373,0.6414216048470519
153_it_tick_Administrative rights,81156,0.5963868774937195
154_athlete_sport_football,84122,0.8649266677180256
155_athlete_sport_basketball,83267,0.9429828963025619
156_athlete_sport_baseball,119290,0.9387428137231008
157_amazon_5star,104765,0.7432717877941225
158_code_C,19131,0.9329084593357485
159_code_Python,83206,0.8295767620452524
160_code_HTML,88378,0.9188572466754886
161_agnews_0,106376,0.9901643093187553
162_agnews_1,106376,0.9875977106246971
163_agnews_2,106376,0.9907269815100042
